Moves Like Jagger (feat. Christina Aguilera),Maroon 5,Hands All Over (Deluxe Edition)
One More Night,Maroon 5,Overexposed
Payphone (feat. Wiz Khalifa),Maroon 5,Overexposed (Deluxe Version)
What Lovers Do (feat. SZA),Maroon 5,Red Pill Blues (Deluxe)
Sugar,Maroon 5,V (Deluxe)
Sugar,Maroon 5,V (Deluxe)
Know the Face,Marvay,Know the Face - Single
Jerusalema (feat. Burna Boy & Nomcebo Zikode) [Remix],Master KG,Jerusalema (feat. Burna Boy & Nomcebo Zikode) [Remix] - Single
"10,000 Reasons (Bless the Lord) [Radio Version] [Live]",Matt Redman,Sing Like Never Before: The Essential Collection
Grace Wins,Matthew West,Live Forever (Deluxe Edition)
Goodbe to My Haters,Mavado,Goodbye to My Haters - Single
High Life,Mavado,High Life Riddim
Fresh Cash,Mavado,Money Mix Riddim
Refiner (feat. Chandler Moore & Steffany Gretzinger),Maverick City Music,"Maverick City, Vol. 2"
Savage Remix (feat. Beyoncé),Megan Thee Stallion,Savage Remix (feat. Beyoncé) - Single
GOOD MORNIN' (feat. GARY TRAINOR),MEGHAN TRAINOR,THE LOVE TRAIN
Woman Up,Meghan Trainor,Thank You (Deluxe Version)
Dear Future Husband,Meghan Trainor,Title (Deluxe Edition)
My Money Ha Ha,Merital Family,"The Hit List, Vol. 2"
When We Party,Merital Family,Street Vybz Riddim - EP
You Rock My World,Michael Jackson,Invincible
Speechless,Michael Jackson,Invincible
They Don't Care About Us,Michael Jackson,Michael Jackson's This Is It (The Music That Inspired the Movie)
The Greatest,Michelle Williams,Unexpected
When I Look At You,Miley Cyrus,The Last Song (Original Soundtrack)
Pocketful of Sunshine,Natasha Bedingfield,Pocketful Of Sunshine
Love Like This (feat. Sean Kingston),Natasha Bedingfield,Pocketful Of Sunshine
Single,Natasha Bedingfield,Unwritten
Unwritten,Natasha Bedingfield,Unwritten
La La La (feat. Sam Smith),Naughty Boy,Hotel Cabana (Deluxe Version)
Should've Been Me (feat. Kyla & Popcaan),Naughty Boy,Should've Been Me (feat. Kyla & Popcaan) - Single
Do You,Ne-Yo,Because of You
Go On Girl,Ne-Yo,Because of You (Deluxe Edition)
So Sick,Ne-Yo,In My Own Words
Never Knew I Needed,Ne-Yo,"Never Knew I Needed (From ""The Princess and the Frog"") - Single"
Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,R.E.D. (Deluxe Edition)
Stop This World,Ne-Yo,Year of the Gentleman (Bonus Track Edition)
Mad,Ne-Yo,Year of the Gentleman (Bonus Track Version)
Miss Independent,Ne-Yo,Year of the Gentleman (Bonus Track Version)
Stop This World,Ne-Yo,Year of the Gentleman (Bonus Track Version)
She Got Her Own (feat. Jamie Foxx & Fabolous) [Bonus Track],Ne-Yo,Year of the Gentleman (Deluxe Edition)
Just a Dream,Nelly,Just a Dream - Single
My Dream,Nesbeth,My Dream - Single
I'm the Best,Nicki Minaj,Pink Friday
Roman Holiday,Nicki Minaj,Pink Friday ... Roman Reloaded (Deluxe Edition)
Sex In the Lounge (feat. Lil Wayne & Bobby V.),Nicki Minaj,Pink Friday ... Roman Reloaded (Deluxe Edition)
Starships,Nicki Minaj,Pink Friday ... Roman Reloaded (Deluxe Edition)
Pound the Alarm,Nicki Minaj,Pink Friday ... Roman Reloaded (Deluxe Edition)
Young Forever,Nicki Minaj,Pink Friday ... Roman Reloaded (Deluxe Edition)
Gun Shot (feat. Beenie Man),Nicki Minaj,Pink Friday ... Roman Reloaded (Deluxe Edition)
Right Thru Me,Nicki Minaj,Pink Friday (Complete Edition)
Moment 4 Life (feat. Drake),Nicki Minaj,Pink Friday (Complete Edition)
Blazin (feat. Kanye West),Nicki Minaj,Pink Friday (Complete Edition)
Dear Old Nicki,Nicki Minaj,Pink Friday (Complete Edition)
Your Love,Nicki Minaj,Pink Friday (Complete Edition)
Last Chance (feat. Natasha Bedingfield),Nicki Minaj,Pink Friday (Complete Edition)
Super Bass,Nicki Minaj,Pink Friday (Deluxe Edition)
Feeling Myself (feat. Beyoncé),Nicki Minaj,The Pinkprint (Bonus Tracks)
The Night Is Still Young,Nicki Minaj,The Pinkprint (Bonus Tracks)
Pills N Potions,Nicki Minaj,The Pinkprint (Bonus Tracks)
Bed of Lies (feat. Skylar Grey),Nicki Minaj,The Pinkprint (Bonus Tracks)
Grand Piano,Nicki Minaj,The Pinkprint (Bonus Tracks)
Last Chance (feat. Natasha Bedingfield),Nicki Minaj & Natasha Bedingfield,Pink Friday
Am I Wrong,Nico & Vinz,Black Star Elephant
In Your Arms,Nico & Vinz,Black Star Elephant
When the Day Comes,Nico & Vinz,Black Star Elephant
Praying to a God,Nico & Vinz,Cornerstone - EP
Find a Way (feat. Emmanuel Jal),Nico & Vinz,The Good Lie (Music From the Motion Picture)
That's How You Know (feat. Kid Ink & Bebe Rexha),Nico & Vinz,That's How You Know (feat. Kid Ink & Bebe Rexha) - Single
urs,NIKI,wanna take this downtown? - EP
Cheerleader,Omi,Verano 2016
What Makes You Beautiful,One Direction,Up All Night (Deluxe Version)
One Thing,One Direction,Up All Night (Deluxe Version)
F**kin' Perfect,P!nk,F**kin' Perfect (Perfect) - Single
So What,P!nk,Funhouse (Deluxe Version)
Raise Your Glass,P!nk,Raise Your Glass - Single
Blow Me (One Last Kiss),P!nk,The Truth About Love
Just Give Me a Reason (feat. Nate Ruess),P!nk,The Truth About Love
New Perspective,Panic! At the Disco,Jennifer's Body (Music from the Motion Picture) [Deluxe Version]
High Hopes,Panic! At the Disco,Pray For the Wicked
Brick By Boring Brick,Paramore,Brand New Eyes
Waiting Game,Parson James,The Temple EP
Build My Life,Pat Barrett,Pat Barrett
Good Morning,Peter Ram,Get Soca 2017
